Sheet_Number,Sheet_Name,Sheet_File,Sheet_Last_Issue_Date
A000,COVER SHEET,CTR - 1st Phase – Cover Sheet,07/02/20
A001,SHEET INDEX,CTR - 1st Phase – Cover Sheet,07/02/20
A020,LIFE SAFETY,CTR - 1st Phase - Common Walls,07/02/20
A021,LIFE SAFETY – LIST OF ROOMS,CTR - 1st Phase - Common Walls,07/02/20
A100,FLOOR PLANS - BASEMENT,CTR - 1st Phase - Common Walls,07/02/20
A101,FLOOR PLANS - 1ST FLOOR,CTR - 1st Phase - Common Walls,07/02/20
A102,FLOOR PLANS - 2ND FLOOR,CTR - 1st Phase - Common Walls,07/02/20
A103,FLOOR PLANS - 3RD FLOOR,CTR - 1st Phase - Common Walls,07/02/20
A104,FLOOR PLANS - ROOF PLAN,CTR - 1st Phase - Shell,07/02/20
A200,ELEVATIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A201,ELEVATIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A202,ELEVATIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A300,SECTIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A301,SECTIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A302,SECTIONS - BUILDING,CTR - 1st Phase - Shell,07/02/20
A400,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A401,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A402,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A403,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A404,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A405,SECTIONS - WALL,CTR - 1st Phase - Shell,07/02/20
A410-A,ENLARGED FLOOR PLANS - BASEMENT EAST,CTR - 1st Phase - Common Walls,07/02/20
A410-B,ENLARGED FLOOR PLANS – BASEMENT WEST,CTR - 1st Phase - Common Walls,07/02/20
A411-A,ENLARGED PLAN 1ST - AREA A (NORTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A411-B,ENLARGED PLAN 1ST - AREA B (SOUTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A411-C,ENLARGED PLAN 1ST - AREA C (NORTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A411-D,ENLARGED PLAN 1ST - AREA D (SOUTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A411-E,ENLARGED PLAN 1ST - AREA E (NORTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A411-F,ENLARGED PLAN 1ST - AREA F (SOUTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A412-A,ENLARGED PLAN 2ND - AREA A (NORTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A412-B,ENLARGED PLAN 2ND - AREA B (SOUTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A412-C,ENLARGED PLAN 2ND - AREA C (NORTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A412-D,ENLARGED PLAN 2ND - AREA D (SOUTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A412-E,ENLARGED PLAN 2ND - AREA E (NORTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A412-F,ENLARGED PLAN 2ND - AREA F (SOUTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A413-A,ENLARGED PLAN 3RD - AREA A (NORTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A413-B,ENLARGED PLAN 3RD - AREA B (SOUTHEAST),CTR - 1st Phase - Common Walls,07/02/20
A413-C,ENLARGED PLAN 3RD - AREA C (NORTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A413-D,ENLARGED PLAN 3RD - AREA D (SOUTHCENTER),CTR - 1st Phase - Common Walls,07/02/20
A413-E,ENLARGED PLAN 3RD - AREA E (NORTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A413-F,ENLARGED PLAN 3RD - AREA F (SOUTHWEST),CTR - 1st Phase - Common Walls,07/02/20
A421.A,RCP PLANS - 1ST FLOOR EAST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A421.B,RCP PLANS - 1ST FLOOR WEST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A422.A,RCP PLANS - 2ND FLOOR EAST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A422.B,RCP PLANS - 2ND FLOOR WEST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A423.A,RCP PLAN - 3RD FLOOR EAST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A423.B,RCP PLAN - 3RD FLOOR WEST SIDE,CTR - 1st Phase - Common Walls,07/02/20
A450,ELEVATIONS - INTERIOR,CTR - 1st Phase - Common Walls,07/02/20
A451,ELEVATIONS - INTERIOR,CTR - 1st Phase - Common Walls,07/02/20
