 Comb. , Node , Ux , Uy , Uz , ROTx , ROTy , ROTz 
combULS01, 1, 0, 0, -0.00258592, 1.52854e-16, -1.12287e-16, 0
combULS01, 2, 0, 0, -0.0024514, 1.48172e-16, -0.000130284, 0
combULS01, 3, 0, 0, -0.00252958, 1.48223e-16, -0.000119011, 0
combULS01, 4, 0, 0, -0.00248956, 1.4708e-16, -0.000130129, 0
combULS01, 5, 0, 0, -0.00244363, 1.85245e-05, -0.000124, 0
combULS01, 6, 0, 0, -0.00245032, 1.10147e-05, -0.000128275, 0
combULS01, 7, 0, 0, -0.00244732, 1.76798e-05, -0.000125537, 0
combULS01, 8, 0, 0, -0.00251557, 3.98739e-05, -1.06258e-16, 0
combULS01, 9, 0, 0, -0.00247752, 2.21466e-05, -0.000114134, 0
combULS01, 10, 0, 0, -0.00250494, 3.3175e-05, -7.31459e-05, 0
combULS01, 11, 0, 0, -0.00252706, 5.69826e-05, -1.06311e-16, 0
combULS01, 12, 0, 0, -0.0025469, 6.7073e-05, -1.0981e-16, 0
combULS01, 13, 0, 0, -0.00252712, 3.17481e-05, -9.57831e-05, 0
combULS01, 14, 0, 0, -0.00248739, 1.62122e-05, -0.000127952, 0
combULS01, 15, 0, 0, -0.00251427, 4.25214e-05, -7.8008e-05, 0
combULS01, 16, 0, 0, -0.00248284, 2.34505e-05, -0.000117473, 0
combULS01, 17, 0, 0, -0.0024514, 1.57548e-16, 0.000130284, 0
combULS01, 18, 0, 0, -0.00248956, 1.56099e-16, 0.000130129, 0
combULS01, 19, 0, 0, -0.00252958, 1.56665e-16, 0.000119011, 0
combULS01, 20, 0, 0, -0.00244363, 1.85245e-05, 0.000124, 0
combULS01, 21, 0, 0, -0.00250494, 3.3175e-05, 7.31459e-05, 0
combULS01, 22, 0, 0, -0.00247752, 2.21466e-05, 0.000114134, 0
combULS01, 23, 0, 0, -0.00244732, 1.76798e-05, 0.000125537, 0
combULS01, 24, 0, 0, -0.00245032, 1.10147e-05, 0.000128275, 0
combULS01, 25, 0, 0, -0.00248739, 1.62122e-05, 0.000127952, 0
combULS01, 26, 0, 0, -0.00252712, 3.17481e-05, 9.57831e-05, 0
combULS01, 27, 0, 0, -0.00248284, 2.34505e-05, 0.000117473, 0
combULS01, 28, 0, 0, -0.00251427, 4.25214e-05, 7.8008e-05, 0
combULS01, 29, 0, 0, -0.00244363, -1.85245e-05, 0.000124, 0
combULS01, 30, 0, 0, -0.00251557, -3.98739e-05, -1.19254e-16, 0
combULS01, 31, 0, 0, -0.00247752, -2.21466e-05, 0.000114134, 0
combULS01, 32, 0, 0, -0.00250494, -3.3175e-05, 7.31459e-05, 0
combULS01, 33, 0, 0, -0.00252706, -5.69826e-05, -1.19007e-16, 0
combULS01, 34, 0, 0, -0.0025469, -6.7073e-05, -1.16421e-16, 0
combULS01, 35, 0, 0, -0.00245032, -1.10147e-05, 0.000128275, 0
combULS01, 36, 0, 0, -0.00244732, -1.76798e-05, 0.000125537, 0
combULS01, 37, 0, 0, -0.00248284, -2.34505e-05, 0.000117473, 0
combULS01, 38, 0, 0, -0.00251427, -4.25214e-05, 7.8008e-05, 0
combULS01, 39, 0, 0, -0.00248739, -1.62122e-05, 0.000127952, 0
combULS01, 40, 0, 0, -0.00252712, -3.17481e-05, 9.57831e-05, 0
combULS01, 41, 0, 0, -0.00244363, -1.85245e-05, -0.000124, 0
combULS01, 42, 0, 0, -0.00250494, -3.3175e-05, -7.31459e-05, 0
combULS01, 43, 0, 0, -0.00247752, -2.21466e-05, -0.000114134, 0
combULS01, 44, 0, 0, -0.00244732, -1.76798e-05, -0.000125537, 0
combULS01, 45, 0, 0, -0.00245032, -1.10147e-05, -0.000128275, 0
combULS01, 46, 0, 0, -0.00251427, -4.25214e-05, -7.8008e-05, 0
combULS01, 47, 0, 0, -0.00248284, -2.34505e-05, -0.000117473, 0
combULS01, 48, 0, 0, -0.00252712, -3.17481e-05, -9.57831e-05, 0
combULS01, 49, 0, 0, -0.00248739, -1.62122e-05, -0.000127952, 0
