 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 1, 0, 0.0, 224465.378758, 0.0, 0.0, -48440.9381076, 0.0
combULS01, 1, 1, 0.0, 204972.592369, 0.0, 0.0, -38564.4128773, 0.0
combULS01, 2, 0, 0.0, 70995.5991861, 0.0, 0.0, -13965.7563067, 0.0
combULS01, 2, 1, 0.0, -1581.48972086, 0.0, 0.0, -16600.2008543, 0.0
combULS01, 3, 0, 0.0, 20174.1774433, 0.0, 0.0, -2669.49638834, 0.0
combULS01, 3, 1, 0.0, 3213.69292469, 0.0, 0.0, -7100.97350347, 0.0
combULS01, 4, 0, 0.0, 41787.6145639, 0.0, 0.0, -34799.1766215, 0.0
combULS01, 4, 1, 0.0, 81813.6612542, 0.0, 0.0, -13735.3086299, 0.0
combULS01, 5, 0, 0.0, 65168.1003051, 0.0, 0.0, -18180.249998, 0.0
combULS01, 5, 1, 0.0, 37987.0088949, 0.0, 0.0, -12421.9693753, 0.0
combULS01, 6, 0, 0.0, 18993.2391389, 0.0, 0.0, -4200.80756245, 0.0
combULS01, 6, 1, 0.0, 3922.36593716, 0.0, 0.0, -5471.42010454, 0.0
combULS01, 7, 0, 0.0, 12706.1500109, 0.0, 0.0, -26131.9873628, 0.0
combULS01, 7, 1, 0.0, 21477.5459833, 0.0, 0.0, -3351.28549097, 0.0
combULS01, 8, 0, 0.0, 29947.9564395, 0.0, 0.0, -15761.8487715, 0.0
combULS01, 8, 1, 0.0, 15169.4827729, 0.0, 0.0, -4202.33408425, 0.0
combULS01, 9, 0, 0.0, 15662.6332218, 0.0, 0.0, -4062.92554888, 0.0
combULS01, 9, 1, 0.0, 4512.20581975, 0.0, 0.0, -1802.40202196, 0.0
combULS01, 10, 0, 0.0, -20174.1774433, 0.0, 0.0, -2669.49638834, 0.0
combULS01, 10, 1, 0.0, 3213.6929247, 0.0, 0.0, -7100.97350347, 0.0
combULS01, 11, 0, 0.0, -70995.5991861, 0.0, 0.0, -13965.7563067, 0.0
combULS01, 11, 1, 0.0, -1581.48972087, 0.0, 0.0, -16600.2008543, 0.0
combULS01, 12, 0, 0.0, -224465.378758, 0.0, 0.0, -48440.9381076, 0.0
combULS01, 12, 1, 0.0, 204972.592369, 0.0, 0.0, -38564.4128773, 0.0
combULS01, 13, 0, 0.0, -18993.2391389, 0.0, 0.0, -4200.80756245, 0.0
combULS01, 13, 1, 0.0, 3922.36593715, 0.0, 0.0, -5471.42010454, 0.0
combULS01, 14, 0, 0.0, -65168.1003051, 0.0, 0.0, -18180.249998, 0.0
combULS01, 14, 1, 0.0, 37987.0088949, 0.0, 0.0, -12421.9693753, 0.0
combULS01, 15, 0, 0.0, -41787.6145639, 0.0, 0.0, -34799.1766215, 0.0
combULS01, 15, 1, 0.0, 81813.6612542, 0.0, 0.0, -13735.3086299, 0.0
combULS01, 16, 0, 0.0, -15662.6332218, 0.0, 0.0, -4062.92554888, 0.0
combULS01, 16, 1, 0.0, 4512.20581975, 0.0, 0.0, -1802.40202196, 0.0
combULS01, 17, 0, 0.0, -29947.9564394, 0.0, 0.0, -15761.8487715, 0.0
combULS01, 17, 1, 0.0, 15169.4827729, 0.0, 0.0, -4202.33408425, 0.0
combULS01, 18, 0, 0.0, -12706.150011, 0.0, 0.0, -26131.9873628, 0.0
combULS01, 18, 1, 0.0, 21477.5459833, 0.0, 0.0, -3351.28549097, 0.0
combULS01, 19, 0, 0.0, -15662.6332218, 0.0, 0.0, -4062.92554888, 0.0
combULS01, 19, 1, 0.0, -4512.20581975, 0.0, 0.0, -1802.40202196, 0.0
combULS01, 20, 0, 0.0, -29947.9564395, 0.0, 0.0, -15761.8487715, 0.0
combULS01, 20, 1, 0.0, -15169.482773, 0.0, 0.0, -4202.33408425, 0.0
combULS01, 21, 0, 0.0, -12706.1500109, 0.0, 0.0, -26131.9873628, 0.0
combULS01, 21, 1, 0.0, -21477.5459833, 0.0, 0.0, -3351.28549097, 0.0
combULS01, 22, 0, 0.0, -18993.2391389, 0.0, 0.0, -4200.80756245, 0.0
combULS01, 22, 1, 0.0, -3922.36593715, 0.0, 0.0, -5471.42010454, 0.0
combULS01, 23, 0, 0.0, -65168.1003051, 0.0, 0.0, -18180.249998, 0.0
combULS01, 23, 1, 0.0, -37987.0088949, 0.0, 0.0, -12421.9693753, 0.0
combULS01, 24, 0, 0.0, -41787.6145639, 0.0, 0.0, -34799.1766215, 0.0
combULS01, 24, 1, 0.0, -81813.6612542, 0.0, 0.0, -13735.3086299, 0.0
combULS01, 25, 0, 0.0, -20174.1774433, 0.0, 0.0, -2669.49638834, 0.0
combULS01, 25, 1, 0.0, -3213.69292468, 0.0, 0.0, -7100.97350347, 0.0
combULS01, 26, 0, 0.0, -70995.5991861, 0.0, 0.0, -13965.7563067, 0.0
combULS01, 26, 1, 0.0, 1581.48972087, 0.0, 0.0, -16600.2008543, 0.0
combULS01, 27, 0, 0.0, -224465.378758, 0.0, 0.0, -48440.9381076, 0.0
combULS01, 27, 1, 0.0, -204972.592369, 0.0, 0.0, -38564.4128773, 0.0
combULS01, 28, 0, 0.0, 12706.150011, 0.0, 0.0, -26131.9873628, 0.0
combULS01, 28, 1, 0.0, -21477.5459833, 0.0, 0.0, -3351.28549097, 0.0
combULS01, 29, 0, 0.0, 29947.9564395, 0.0, 0.0, -15761.8487715, 0.0
combULS01, 29, 1, 0.0, -15169.482773, 0.0, 0.0, -4202.33408425, 0.0
combULS01, 30, 0, 0.0, 15662.6332218, 0.0, 0.0, -4062.92554888, 0.0
combULS01, 30, 1, 0.0, -4512.20581975, 0.0, 0.0, -1802.40202196, 0.0
combULS01, 31, 0, 0.0, 41787.6145639, 0.0, 0.0, -34799.1766215, 0.0
combULS01, 31, 1, 0.0, -81813.6612542, 0.0, 0.0, -13735.3086299, 0.0
combULS01, 32, 0, 0.0, 65168.1003051, 0.0, 0.0, -18180.249998, 0.0
combULS01, 32, 1, 0.0, -37987.0088949, 0.0, 0.0, -12421.9693753, 0.0
combULS01, 33, 0, 0.0, 18993.2391389, 0.0, 0.0, -4200.80756245, 0.0
combULS01, 33, 1, 0.0, -3922.36593716, 0.0, 0.0, -5471.42010454, 0.0
combULS01, 34, 0, 0.0, 224465.378758, 0.0, 0.0, -48440.9381076, 0.0
combULS01, 34, 1, 0.0, -204972.592369, 0.0, 0.0, -38564.4128773, 0.0
combULS01, 35, 0, 0.0, 70995.5991861, 0.0, 0.0, -13965.7563067, 0.0
combULS01, 35, 1, 0.0, 1581.48972087, 0.0, 0.0, -16600.2008543, 0.0
combULS01, 36, 0, 0.0, 20174.1774433, 0.0, 0.0, -2669.49638834, 0.0
combULS01, 36, 1, 0.0, -3213.69292469, 0.0, 0.0, -7100.97350347, 0.0
