 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 2, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 3, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 3, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 4, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 4, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 6, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 6, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 7, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 7, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 8, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 8, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 9, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 9, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 11, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 11, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 12, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 12, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 13, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 13, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 14, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 14, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 16, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 16, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 17, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 17, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 18, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 18, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 19, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 19, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
combULS01, 21, 0, 476.682975312, 151439.16032, 4209.46260185, 0.0, -55229.2879241, 0.0
combULS01, 21, 1, 6542.46764605, 142012.869275, 4209.46260185, 0.0, -50227.9954266, 0.0
combULS01, 22, 0, 18.8531931206, 30522.3979922, 1087.41064068, 0.0, -10727.6070601, 0.0
combULS01, 22, 1, -451.468180381, 7444.42195845, 1087.41064068, 0.0, -29319.6834335, 0.0
combULS01, 23, 0, -3089.98695203, 786.523821977, 1175.61218778, 0.0, -27420.3314031, 0.0
combULS01, 23, 1, 1685.09131765, 27473.0190596, 1175.61218778, 0.0, -9463.6011224, 0.0
combULS01, 24, 0, -603.346926586, 19144.8104176, 1110.90422762, 0.0, -12973.5005736, 0.0
combULS01, 24, 1, 343.68736627, 19548.2025565, 1110.90422762, 0.0, -13023.401979, 0.0
combULS01, 26, 0, 35.5268722499, -30384.0101779, -1099.09569614, 0.0, -10685.2632358, 0.0
combULS01, 26, 1, -482.063458081, 7313.49476983, -1099.09569614, 0.0, -29281.7164894, 0.0
combULS01, 27, 0, 541.439279409, -150991.462879, -4251.3182221, 0.0, -55099.653648, 0.0
combULS01, 27, 1, 6547.50431334, 141843.122691, -4251.3182221, 0.0, -50245.8331019, 0.0
combULS01, 28, 0, -599.975921473, -19092.7269053, -1121.95019474, 0.0, -12965.4571677, 0.0
combULS01, 28, 1, 337.734508547, 19484.2243138, -1121.95019474, 0.0, -13013.8871419, 0.0
combULS01, 29, 0, -3094.60514818, -851.916530787, -1186.42887021, 0.0, -27438.3702116, 0.0
combULS01, 29, 1, 1685.36033669, 27424.5475743, -1186.42887021, 0.0, -9458.52874787, 0.0
combULS01, 31, 0, 603.346926561, -23368.2030764, -1110.90422762, 0.0, -13601.3055039, 0.0
combULS01, 31, 1, -343.687366246, -22964.8109375, -1110.90422762, 0.0, -13551.4040985, 0.0
combULS01, 32, 0, 3089.98695199, -9601.39215934, -1175.61218783, 0.0, -29975.588459, 0.0
combULS01, 32, 1, -1685.09131763, -36672.594684, -1175.61218783, 0.0, -12288.2409167, 0.0
combULS01, 33, 0, -18.8531931329, -33623.2157514, -1087.41064064, 0.0, -11024.2349789, 0.0
combULS01, 33, 1, 451.468180425, -2943.49402287, -1087.41064064, 0.0, -28076.2364287, 0.0
combULS01, 34, 0, -476.682975372, -162335.123561, -4209.46260185, 0.0, -53907.6147215, 0.0
combULS01, 34, 1, -6542.467646, -171761.414606, -4209.46260185, 0.0, -58908.907219, 0.0
combULS01, 36, 0, 3094.60514822, 9535.99945053, 1186.42887016, 0.0, -29957.5496505, 0.0
combULS01, 36, 1, -1685.36033671, -36721.0661693, 1186.42887016, 0.0, -12293.3132912, 0.0
combULS01, 37, 0, 599.975921495, 23420.2865887, 1121.95019474, 0.0, -13609.3489098, 0.0
combULS01, 37, 1, -337.734508578, -23028.7891802, 1121.95019474, 0.0, -13560.9189355, 0.0
combULS01, 38, 0, -541.439279352, 162782.821002, 4251.3182221, 0.0, -54037.2489976, 0.0
combULS01, 38, 1, -6547.50431339, -171931.16119, 4251.3182221, 0.0, -58891.0695437, 0.0
combULS01, 39, 0, -35.5268722367, 33761.6035656, 1099.09569619, 0.0, -11066.5788032, 0.0
combULS01, 39, 1, 482.063458034, -3074.42121148, 1099.09569619, 0.0, -28114.2033728, 0.0
combULS01, 41, 0, -191.193305183, 360555.502312, -812.930601465, 0.0, -135992.267803, 0.0
combULS01, 41, 1, -1313.87999672, 362099.051084, -812.930601465, 0.0, -136984.454933, 0.0
combULS01, 42, 0, -59.5290645653, 126212.454539, -278.371505327, 0.0, -42000.4426999, 0.0
combULS01, 42, 1, 64.5669549313, 28989.4645229, -278.371505327, 0.0, -78996.2815866, 0.0
combULS01, 43, 0, -19.5819397404, 32348.2533087, -78.6362505161, 0.0, -8449.88022286, 0.0
combULS01, 43, 1, 16.0648874137, 8813.83098752, -78.6362505161, 0.0, -48874.3768056, 0.0
combULS01, 44, 0, 277.939491744, 30224.4196449, -267.066610642, 0.0, -79210.1228197, 0.0
combULS01, 44, 1, -569.234099396, 126867.64828, -267.066610642, 0.0, -42304.5984153, 0.0
combULS01, 45, 0, -16.915021992, 89138.1774107, -354.642048192, 0.0, -49598.3954345, 0.0
combULS01, 45, 1, -186.386994015, 88853.4640853, -354.642048192, 0.0, -49620.530596, 0.0
combULS01, 46, 0, -4.59074578081, 29390.9117827, -115.89989104, 0.0, -14561.1422074, 0.0
combULS01, 46, 1, 10.9195769702, 22354.1218806, -115.89989104, 0.0, -34652.6036998, 0.0
combULS01, 47, 0, 471.276819464, 8851.0846186, -87.8686045483, 0.0, -49039.0383603, 0.0
combULS01, 47, 1, -147.221406798, 32589.455008, -87.8686045483, 0.0, -8577.46861886, 0.0
combULS01, 48, 0, 254.802064639, 22473.6752, -159.599102603, 0.0, -34696.3257693, 0.0
combULS01, 48, 1, -76.0507851725, 29495.4725007, -159.599102603, 0.0, -14623.6307238, 0.0
combULS01, 49, 0, 50.216760768, 16491.9738654, -71.9263796583, 0.0, -11054.4830299, 0.0
combULS01, 49, 1, -25.9738671721, 16499.4230361, -71.9263796583, 0.0, -11058.5447818, 0.0
