 Comb. , Elem. , Sect. , N , Vy , Vz , T , My , Mz 
combULS01, 1, 0, -37.8208279669, 161227.110505, -197.483307422, 0.0, -60233.1712031, 0.0
combULS01, 1, 1, -327.81201395, 161739.038332, -197.483307422, 0.0, -60532.0857919, 0.0
combULS01, 2, 0, -10.5452621747, 55182.0649059, -67.7062141866, 0.0, -18153.3633685, 0.0
combULS01, 2, 1, 14.0454705449, 12963.0606213, -67.7062141866, 0.0, -34943.6525977, 0.0
combULS01, 3, 0, -3.77643468635, 13689.5963718, -19.0289392689, 0.0, -3534.4670656, 0.0
combULS01, 3, 1, 0.404488278884, 3150.38420264, -19.0289392689, 0.0, -21367.3030944, 0.0
combULS01, 4, 0, 69.1518200506, 13525.2592533, -64.7891789006, 0.0, -35037.4233309, 0.0
combULS01, 4, 1, -142.201404342, 55379.8115941, -64.7891789006, 0.0, -18260.642602, 0.0
combULS01, 5, 0, -2.81181691348, 40618.7310271, -86.1484303404, 0.0, -21914.2708142, 0.0
combULS01, 5, 1, -46.5813844822, 40508.1660094, -86.1484303404, 0.0, -21934.049356, 0.0
combULS01, 6, 0, -0.56756682563, 13092.9975497, -27.8168264386, 0.0, -6426.18762661, 0.0
combULS01, 6, 1, 0.779856801624, 9105.20902591, -27.8168264386, 0.0, -15535.4558497, 0.0
combULS01, 7, 0, 117.970227432, 3131.14955946, -21.4156118168, 0.0, -21431.4703301, 0.0
combULS01, 7, 1, -36.7454809162, 13765.1669182, -21.4156118168, 0.0, -3583.31796988, 0.0
combULS01, 8, 0, 63.7632687455, 9136.56211647, -39.1049116634, 0.0, -15551.4545227, 0.0
combULS01, 8, 1, -19.0241061265, 13136.2778512, -39.1049116634, 0.0, -6456.33079932, 0.0
combULS01, 9, 0, 12.7814832445, 7367.80252966, -17.4719230042, 0.0, -5215.61293178, 0.0
combULS01, 9, 1, -6.89418115058, 7374.90283877, -17.4719230042, 0.0, -5219.42369745, 0.0
combULS01, 11, 0, -3.77643468414, -13689.5963718, 19.0289392675, 0.0, -3534.4670656, 0.0
combULS01, 11, 1, 0.404488272013, 3150.38420264, 19.0289392675, 0.0, -21367.3030944, 0.0
combULS01, 12, 0, -10.5452621663, -55182.0649058, 67.7062141825, 0.0, -18153.3633685, 0.0
combULS01, 12, 1, 14.0454705408, 12963.0606212, 67.7062141825, 0.0, -34943.6525976, 0.0
