Shear wall,Floor,Length,Height,Area,Cumulated self weight,Shear,T,C,Hold-down anchor capacity,T,,Hold-down studs,,,Shear/m,,Bottom plate attachment (to foundation),,,,16d (d= 0.268 in) nails,,,16d (d= 0.268 in) nails,,,wood screws 20 (d= 0.32 in),,,SDWS log screw (d= 0.197 in),,,,,,,,,,
,,(m),(m),(m²),(kN),(kN),(kN),(kN),(kN),(kip),,,,,(kN/m),,Shear,Bolt spacement,Number of bolts,Shear/bolt,number,spacement,OK,Number/2,spacement,OK,number,spacement,OK,number,spacement,OK,,type,number,rows,bolts/row,spacement,,
N3A,3,8.90,3.30,29.39,19.10,44.84,7.09,-16.64,10.00,1.59,2.00,1,,$floor.B3,5.04,,0.00,"1,000.00",1,0.00,62.00,0.14,0,31,0.29,0,15.00,0.59,1,12.00,0.00,1,,wood screws 20 (d= 0.32 in),30,2,15,25,2 rows.,wood screws 20 (d= 0.32 in) at 25 in. o/c; 30 fasteners in 2 rows.
N3B,3,9.43,3.30,31.14,20.24,11.72,0.00,-4.10,-,0.00,-,-,,$floor.B3,1.24,,0.00,"1,000.00",1,0.00,16.00,0.59,1,,0.00,1,4.00,0.00,1,4.00,0.00,1,,16d (d= 0.268 in) nails,16,1,16,24,1 row.,16d (d= 0.268 in) nails at 24 in. o/c; 16 fasteners in 1 row.
N3C,3,9.43,3.30,31.14,20.24,25.01,0.00,-8.76,-,0.00,-,-,,$floor.B3,2.65,,0.00,"1,000.00",1,0.00,35.00,0.27,0,17.5,0.54,1,9.00,0.00,1,7.00,0.00,1,,16d (d= 0.268 in) nails,35,2,18,21,2 rows.,16d (d= 0.268 in) nails at 21 in. o/c; 35 fasteners in 2 rows.
N3D,3,8.90,3.30,29.39,19.10,45.63,7.38,-16.93,10.00,1.66,2.00,1,,$floor.B3,5.13,,0.00,"1,000.00",1,0.00,63.00,0.14,0,31.5,0.28,0,15.00,0.59,1,13.00,0.00,1,,wood screws 20 (d= 0.32 in),30,2,15,25,2 rows.,wood screws 20 (d= 0.32 in) at 25 in. o/c; 30 fasteners in 2 rows.
N2A,2,8.90,3.35,29.84,38.50,76.75,9.66,-28.91,10.00,2.17,2.00,1,,$floor.B2,8.62,,0.00,"1,000.00",1,0.00,105.00,0.08,0,52.5,0.17,0,26.00,0.34,1,21.00,0.00,1,,wood screws 20 (d= 0.32 in),52,2,26,14,2 rows.,wood screws 20 (d= 0.32 in) at 14 in. o/c; 52 fasteners in 2 rows.
N2B,2,9.43,3.35,31.62,40.79,20.06,0.00,-7.13,-,0.00,-,-,,$floor.B2,2.13,,0.00,"1,000.00",1,0.00,28.00,0.34,1,,0.00,1,7.00,0.00,1,6.00,0.00,1,,16d (d= 0.268 in) nails,28,1,28,13,1 row.,16d (d= 0.268 in) nails at 13 in. o/c; 28 fasteners in 1 row.
N2C,2,9.43,3.35,31.62,40.79,42.80,0.00,-15.22,-,0.00,-,-,,$floor.B2,4.54,,0.00,"1,000.00",1,0.00,59.00,0.16,0,29.5,0.32,1,14.00,0.00,1,12.00,0.00,1,,16d (d= 0.268 in) nails,59,2,30,12,2 rows.,16d (d= 0.268 in) nails at 12 in. o/c; 59 fasteners in 2 rows.
N2D,2,8.90,3.35,29.84,38.50,78.11,10.18,-29.43,20.00,2.29,2.00,1,,$floor.B2,8.78,,0.00,"1,000.00",1,0.00,107.00,0.08,0,53.5,0.17,0,26.00,0.34,1,21.00,0.00,1,,wood screws 20 (d= 0.32 in),52,2,26,14,2 rows.,wood screws 20 (d= 0.32 in) at 14 in. o/c; 52 fasteners in 2 rows.
N1A,1,8.90,3.45,30.74,58.48,109.39,13.22,-42.46,20.00,2.97,3.00,1,,$floor.B1,12.29,,109.39,0.91,10,10.94,150.00,0.06,0,75,0.12,0,36.00,0.25,0,29.00,0.31,1,,SDWS log screw (d= 0.197 in),58,2,29,12,2 rows.,SDWS log screw (d= 0.197 in) at 12 in. o/c; 58 fasteners in 2 rows.
